model_name,capex,fixom,varom
ep_bioenergy,3500,130,8.0
ep_coal_CFB,2300,65,6.0
ep_coal_IGCC,4200,120,6.0
ep_coal_subcritical,2000,60,5.0
ep_coal_subcritical_CCS,3600,110,7.0
ep_coal_supercritical,2200,65,5.5
ep_coal_supercritical_CCS,3700,115,7.5
ep_coal_ultra-supercritical,2400,70,5.5
ep_coal_ultra-supercritical_CCS,3900,120,7.5
ep_geothermal,4200,130,5.0
ep_hydro_dam,2500,50,2.0
ep_hydro_ror,2200,55,2.5
ep_hydro_ps,1800,40,1.5
ep_nuclear,6500,150,4.0
ep_nuclear_smr,8500,180,4.0
ep_gas_internal_combustion,1100,45,6.5
ep_oil_internal_combustion,1000,40,6.5
ep_gas_combined_cycle,1000,30,3.0
ep_oil_combined_cycle,1100,35,3.5
ep_gas_gas_turbine,800,20,4.0
ep_oil_gas_turbine,900,22,4.5
ep_gas_steam_turbine,1200,40,4.5
ep_oil_steam_turbine,1300,45,5.0
ep_solar_PV,900,15,0.0
ep_solar_thermal,5500,65,2.0
ep_wind_offshore,4000,100,3.0
ep_wind_onshore,1600,40,2.0
