model_name,life
ep_bioenergy,50
ep_coal_CFB,50
ep_coal_IGCC,50
ep_coal_subcritical,50
ep_coal_subcritical_CCS,50
ep_coal_supercritical,50
ep_coal_supercritical_CCS,50
ep_coal_ultra-supercritical,50
ep_coal_ultra-supercritical_CCS,50
ep_geothermal,50
ep_hydro_dam,100
ep_hydro_ror,100
ep_hydro_ps,100
ep_nuclear,50
ep_nuclear_smr,50
ep_gas_internal_combustion,40
ep_oil_internal_combustion,40
ep_gas_combined_cycle,50
ep_oil_combined_cycle,50
ep_gas_gas_turbine,40
ep_oil_gas_turbine,40
ep_gas_steam_turbine,50
ep_oil_steam_turbine,50
ep_solar_PV,30
ep_solar_thermal,30
ep_wind_offshore,30
ep_wind_onshore,30
