iso,region
CHN,China
IND,India
USA,United States
IDN,India
BRA,Brazil
RUS,Russia
JPN,Japan
DZA,Africa
MEX,United States
DEU,European Union
GBR,European Union
FRA,European Union
KOR,Japan
TUR,European Union
AGO,Africa
PAK,India
ITA,European Union
THA,India
CAN,United States
BGD,India
AUS,United States
IRN,Middle East
PHL,India
ESP,European Union
SAU,Middle East
ARG,Brazil
VNM,India
BEN,Africa
MYS,India
COL,Brazil
POL,European Union
TWN,China
BWA,Africa
PER,Brazil
ARE,Middle East
UKR,European Union
NLD,European Union
VEN,Brazil
BFA,Africa
BDI,Africa
CMR,Africa
CPV,Africa
CHL,Brazil
KAZ,Russia
IRQ,Middle East
ISR,Middle East
SYR,Middle East
SWE,European Union
CAF,Africa
CZE,European Union
TCD,Africa
BEL,European Union
HKG,China
LKA,India
UZB,Russia
CHE,European Union
COM,Africa
AUT,European Union
COD,Africa
SGP,Japan
GRC,European Union
KWT,Middle East
MMR,India
NOR,European Union
ECU,Brazil
DJI,Africa
EGY,Africa
PRT,European Union
GIN,Africa
GNQ,Africa
GTM,Brazil
QAT,Middle East
YEM,Middle East
ERI,Africa
ETH,Africa
BLR,European Union
NPL,India
IRL,European Union
HUN,European Union
FIN,European Union
DNK,European Union
DOM,Brazil
GAB,Africa
GHA,Africa
BOL,Brazil
GNB,Africa
JOR,Middle East
NZL,United States
KHM,India
SVK,European Union
BGR,European Union
OMN,Middle East
TKM,Russia
LSO,Africa
CIV,Africa
PAN,Brazil
KEN,Africa
LBR,Africa
MDG,Africa
PRY,Brazil
CRI,Brazil
LBY,Africa
CUB,Brazil
LBN,Middle East
MWI,Africa
SRB,European Union
HND,Brazil
AZE,Russia
MLI,Africa
MRT,Africa
RWA,Africa
LAO,India
MNG,China
URY,Brazil
HTI,Brazil
BHR,Middle East
HRV,European Union
TJK,Russia
STP,Africa
SYC,Africa
SLV,Brazil
LTU,European Union
SVN,European Union
NIC,Brazil
MUS,Africa
MYT,Africa
GEO,European Union
BIH,European Union
MAR,Africa
KGZ,Russia
MOZ,Africa
NAM,Africa
LVA,European Union
NER,Africa
NGA,Africa
MKD,European Union
LUX,European Union
PSE,Middle East
ALB,European Union
COG,Africa
EST,European Union
SLE,Africa
TTO,Brazil
SOM,Africa
SWZ,Africa
ARM,Russia
GMB,Africa
MDA,European Union
JAM,Brazil
CYP,European Union
BRN,India
SEN,Africa
UGA,Africa
ISL,European Union
AFG,India
PNG,India
ZAF,Africa
SSD,Africa
MLT,European Union
MAC,China
SUR,Brazil
SDN,Africa
MNE,European Union
BTN,India
NCL,India
FJI,United States
SLB,United States
MDV,United States
PYF,United States
VUT,United States
WSM,United States
TZA,Africa
TON,United States
KIR,United States
PLW,United States
TGO,Africa
PRI,Brazil
BHS,Brazil
GUY,Brazil
BRB,Brazil
BLZ,Brazil
ASM,United States
AND,European Union
AIA,Brazil
LCA,Brazil
VCT,Brazil
VGB,Brazil
ABW,Brazil
CHI,European Union
COK,United States
PRK,United States
TUN,Africa
ATG,Brazil
FLK,Brazil
FRO,European Union
GUF,Brazil
GIB,European Union
GRL,European Union
BMU,Brazil
GLP,Brazil
GUM,United States
IMN,European Union
CYM,Brazil
XXK,European Union
LIE,European Union
MHL,United States
MTQ,Brazil
DMA,Brazil
FSM,United States
MCO,European Union
MSR,Brazil
NRU,United States
ANT,Brazil
NIU,United States
MNP,United States
GRD,Brazil
REU,Africa
ROU,European Union
SMR,European Union
ZMB,Africa
ZWE,Africa
SHN,Africa
KNA,Brazil
SPM,Brazil
TLS,United States
TKL,United States
TCA,Brazil
TUV,United States
VAT,European Union
VIR,Brazil
WLF,United States
ESH,Africa
